Output of print(df.to_pandas().describe()):

                        Date Time       p (mbar)       T (degC)  \
count                      420551  420551.000000  420551.000000   
mean   2012-12-30 06:26:51.498724     989.212776       9.450147   
min           2009-01-01 00:10:00     913.600000     -23.010000   
25%           2010-12-31 03:25:00     984.200000       3.360000   
50%           2012-12-30 06:20:00     989.580000       9.420000   
75%           2014-12-29 18:55:00     994.720000      15.470000   
max           2017-01-01 00:00:00    1015.350000      37.280000   
std                           NaN       8.358481       8.423365   

            Tpot (K)    Tdew (degC)         rh (%)   VPmax (mbar)  \
count  420551.000000  420551.000000  420551.000000  420551.000000   
mean      283.492743       4.955854      76.008259      13.576251   
min       250.600000     -25.010000      12.950000       0.950000   
25%       277.430000       0.240000      65.210000       7.780000   
50%       283.470000       5.220000      79.300000      11.820000   
75%       289.530000      10.070000      89.400000      17.600000   
max       311.340000      23.110000     100.000000      63.770000   
std         8.504471       6.730674      16.476175       7.739020   

        VPact (mbar)   VPdef (mbar)      sh (g/kg)  H2OC (mmol/mol)  \
count  420551.000000  420551.000000  420551.000000    420551.000000   
mean        9.533756       4.042412       6.022408         9.640223   
min         0.790000       0.000000       0.500000         0.800000   
25%         6.210000       0.870000       3.920000         6.290000   
...
50%      1213.790000       1.760000       2.960000     198.100000  
75%      1242.770000       2.860000       4.740000     234.100000  
max      1393.540000      28.490000      23.500000     360.000000  
std        39.975208      65.446714      69.016932      86.681693  
